30 250
0 1 2
1 2 9
2 3 3
3 4 4
4 5 4
5 6 8
6 7 5
7 8 9
8 9 5
9 10 2
10 11 4
11 12 5
12 13 4
13 14 6
14 15 3
15 16 5
16 17 1
17 18 9
18 19 3
19 20 5
20 21 1
21 22 1
22 23 9
23 24 5
24 25 3
25 26 8
26 27 2
27 28 1
28 29 5
29 0 8
15 14 10
5 1 8
27 15 3
26 2 12
15 2 1
25 18 9
2 7 3
17 24 13
25 19 7
24 16 12
14 29 14
9 27 13
9 18 1
19 23 3
24 6 6
8 21 2
5 7 5
17 2 5
0 13 14
22 19 15
9 1 7
9 22 9
22 27 14
2 21 7
29 8 6
13 3 7
20 4 8
26 4 2
1 5 9
26 18 9
14 3 14
22 9 12
8 16 15
14 2 1
28 13 10
19 8 0
21 26 0
24 21 8
18 1 5
20 14 8
5 18 13
20 26 15
2 15 11
13 10 10
21 3 5
10 13 15
9 21 12
26 24 1
10 8 10
3 24 12
27 16 0
21 27 14
13 1 6
16 11 15
24 1 6
8 17 4
29 9 14
28 22 15
3 0 7
22 5 9
17 0 13
26 29 3
4 15 9
16 22 8
13 26 15
15 7 14
17 4 12
6 29 4
27 2 8
27 13 10
29 25 8
26 0 9
23 9 15
27 4 14
17 15 11
10 17 12
10 27 6
22 7 12
7 27 13
1 10 15
22 29 12
12 21 4
15 1 4
16 18 10
27 3 14
3 16 14
0 23 4
13 27 4
25 8 10
19 22 12
20 2 10
27 21 12
10 20 15
27 17 1
19 2 7
7 23 2
24 20 3
14 5 9
28 0 1
10 25 1
9 11 11
13 4 7
16 13 5
2 19 12
19 21 7
15 29 4
7 14 8
14 8 0
28 25 14
28 9 5
2 14 11
18 9 13
22 8 14
27 9 6
12 27 15
3 7 12
18 11 9
0 26 12
8 0 1
29 19 15
26 28 9
7 19 11
7 20 6
21 24 4
20 3 1
9 25 14
1 18 11
23 4 2
10 23 13
4 25 11
26 5 8
29 26 15
25 9 10
25 3 14
2 4 7
23 21 12
27 25 11
2 25 12
0 8 3
14 11 8
18 12 11
3 21 7
15 0 10
2 20 14
29 22 9
20 13 3
4 1 1
9 15 3
28 17 4
12 14 11
21 23 13
18 23 4
26 15 13
8 1 11
6 14 14
11 3 11
17 28 11
1 12 8
6 3 14
6 20 0
1 25 10
7 4 6
2 26 6
18 6 7
10 24 4
25 28 0
8 27 4
4 17 8
25 5 3
0 4 0
11 25 7
18 10 0
5 8 1
4 23 13
16 3 2
24 11 3
14 16 7
19 1 9
14 20 0
1 15 12
13 21 3
15 22 14
2 28 2
10 19 4
8 19 10
12 19 9
19 13 3
25 22 3
27 20 6
28 7 13
10 26 14
23 3 10
21 8 11
4 21 15
2 13 3
10 21 3
13 11 13
27 29 1
9 19 9
18 16 6
11 27 11
8 18 7
25 13 0
19 29 8
0 5 8
22 24 9
29 10 11
18 21 12
23 20 0
2 23 6
14 10 5
11 9 10
24 18 2
28 1 4
5 24 1
21 2 8
14 21 13
15 19 14
13 8 6
3 11 13
