60 1200
0 1 4
1 2 6
2 3 9
3 4 6
4 5 8
5 6 4
6 7 1
7 8 7
8 9 6
9 10 3
10 11 5
11 12 1
12 13 8
13 14 8
14 15 9
15 16 5
16 17 9
17 18 8
18 19 4
19 20 3
20 21 9
21 22 6
22 23 6
23 24 8
24 25 5
25 26 9
26 27 3
27 28 2
28 29 9
29 30 3
30 31 8
31 32 5
32 33 5
33 34 9
34 35 6
35 36 8
36 37 1
37 38 9
38 39 7
39 40 3
40 41 1
41 42 6
42 43 4
43 44 6
44 45 2
45 46 9
46 47 7
47 48 4
48 49 9
49 50 8
50 51 9
51 52 3
52 53 5
53 54 6
54 55 7
55 56 6
56 57 2
57 58 2
58 59 9
59 0 2
2 53 4
11 55 1
12 6 15
2 36 12
42 31 8
3 23 7
38 45 2
0 59 6
41 31 2
29 51 1
23 35 13
52 23 1
52 39 8
33 2 2
53 19 2
13 33 3
6 46 7
34 24 6
12 33 7
36 40 5
35 47 13
47 6 11
43 29 13
56 6 5
50 11 12
32 21 5
34 38 14
59 22 10
35 20 11
26 48 13
52 46 10
38 15 6
24 49 8
23 28 14
25 0 1
18 38 0
33 8 9
0 19 7
13 54 10
1 49 8
58 35 4
6 2 14
22 9 4
16 23 7
14 16 9
5 36 12
36 58 6
46 4 10
50 30 5
31 52 3
38 41 9
2 46 12
5 49 1
58 49 10
22 56 13
26 59 3
55 49 7
47 41 0
40 49 12
3 19 1
20 34 4
20 32 7
9 3 12
28 48 2
14 27 9
50 25 4
8 21 2
30 36 1
35 25 8
5 25 13
49 44 4
48 8 15
35 12 15
25 41 6
35 39 7
15 4 8
49 27 10
43 59 2
7 42 13
27 23 11
12 20 11
19 10 11
39 52 14
39 9 14
2 59 7
12 43 11
9 48 2
7 47 1
15 39 4
55 53 9
0 21 3
19 28 15
1 21 6
47 34 6
13 34 8
35 30 4
42 1 12
37 57 1
16 10 1
18 12 8
3 29 0
4 24 8
42 54 11
55 6 0
18 55 12
14 24 3
57 20 15
55 38 2
32 29 0
2 15 9
21 31 12
47 10 0
22 43 11
22 40 9
15 32 8
51 3 8
56 24 0
35 17 7
9 21 12
42 8 2
46 24 7
26 15 4
27 19 10
28 34 4
13 41 4
37 34 6
55 8 9
57 33 4
27 58 4
41 59 5
20 4 3
11 20 4
46 1 10
56 26 13
47 59 8
9 49 6
6 8 5
1 48 8
38 36 7
38 14 7
43 1 11
5 44 15
8 32 15
45 41 11
11 54 12
31 30 4
10 12 7
2 26 0
59 17 13
14 47 6
48 13 2
11 59 14
55 39 15
44 20 14
56 15 13
25 49 1
38 47 12
46 20 12
39 47 1
33 6 14
29 52 1
25 47 1
35 24 1
12 18 14
25 56 9
49 52 9
29 10 13
18 39 1
44 33 4
29 53 14
5 46 3
11 49 4
20 28 0
11 29 6
56 29 2
16 20 5
7 5 3
45 28 11
5 33 12
46 50 5
24 35 12
2 49 5
58 21 4
10 55 4
45 3 13
46 49 14
18 40 5
7 57 4
12 0 8
0 29 15
54 31 0
38 56 15
15 13 15
29 26 14
5 38 0
15 56 8
35 52 6
3 11 4
3 41 11
2 9 1
42 36 9
21 58 2
3 6 13
11 10 9
39 42 5
29 47 11
59 2 2
49 19 10
23 57 12
52 4 13
53 35 2
18 30 4
7 44 8
21 33 13
33 13 6
39 3 3
36 46 2
30 46 9
27 38 10
16 33 11
59 8 15
33 46 15
31 51 5
56 39 7
45 18 6
0 7 0
29 40 3
47 54 6
51 39 13
26 2 10
22 35 6
0 40 6
44 18 8
50 4 9
19 32 10
49 0 3
43 21 10
25 46 0
53 11 6
21 53 10
59 43 15
58 30 1
41 8 15
9 40 14
57 55 10
29 50 13
59 47 1
53 33 9
43 20 0
13 36 10
51 58 11
4 9 8
53 1 10
24 40 5
36 38 12
11 38 3
55 50 9
45 54 10
45 2 8
26 5 15
19 11 3
23 50 1
49 12 2
28 32 0
51 30 4
12 21 15
46 55 9
49 20 4
49 55 3
52 33 4
13 46 1
29 24 3
43 54 2
21 29 1
6 33 9
1 36 9
40 57 6
20 12 6
18 17 10
49 28 3
17 9 5
17 7 0
39 35 3
20 17 4
45 51 9
36 15 5
4 19 10
34 28 1
8 1 15
57 43 1
6 24 1
5 27 12
11 45 14
39 22 9
21 52 6
45 48 2
59 48 14
36 8 2
52 51 14
6 29 9
43 41 14
30 14 7
9 55 8
58 23 12
11 44 10
50 55 10
29 31 0
4 30 3
22 30 14
54 10 9
49 22 4
32 6 12
52 45 3
20 35 2
50 19 14
25 37 13
15 35 5
30 24 2
21 13 13
50 27 10
34 44 7
11 42 2
45 36 15
7 37 14
6 52 14
11 19 12
4 38 3
43 52 12
20 31 1
5 13 4
56 37 0
48 9 4
18 24 14
43 56 10
19 36 9
27 45 11
5 37 0
39 32 12
54 8 9
57 35 1
0 45 11
7 55 9
55 1 7
27 44 12
40 20 12
25 24 13
34 13 5
30 8 6
53 59 11
53 26 4
8 0 2
41 1 4
46 56 15
42 27 4
5 8 13
55 29 13
39 11 14
32 27 14
24 22 7
11 27 0
36 31 7
45 32 8
34 36 11
36 30 11
30 44 2
9 46 8
29 33 2
33 56 2
15 30 2
43 40 9
57 21 0
30 29 15
21 26 11
51 18 9
10 2 9
36 16 1
40 30 5
36 3 9
51 47 0
18 31 2
4 54 8
16 8 8
17 54 8
0 47 3
38 11 4
42 28 11
51 11 8
50 44 7
31 11 1
21 5 4
38 59 4
53 31 13
49 24 7
46 40 5
46 53 11
16 48 3
3 10 14
25 30 9
30 47 7
24 43 12
30 16 4
33 55 13
0 18 14
20 33 1
6 58 11
54 27 8
21 17 8
51 6 8
41 37 12
29 49 7
46 43 6
33 21 5
0 43 0
53 4 0
26 6 3
43 28 11
14 46 9
16 12 1
1 39 2
3 38 6
38 40 3
45 7 2
54 38 4
24 42 5
57 7 5
16 18 14
42 59 2
40 29 8
44 57 10
49 4 8
49 3 12
24 21 1
16 52 8
11 28 2
31 59 6
39 25 5
6 9 13
13 39 3
58 28 8
16 49 14
1 57 15
9 41 0
42 24 8
9 44 10
57 25 0
32 45 15
30 27 12
54 46 2
34 14 0
24 44 15
7 36 11
21 43 9
25 3 2
23 34 10
5 53 14
18 41 6
11 35 1
12 19 12
57 6 11
31 5 14
47 12 4
2 12 0
46 37 7
31 24 2
50 34 9
31 34 14
21 3 10
50 46 1
25 7 6
51 41 14
43 55 4
47 37 7
59 4 1
47 9 15
30 58 1
15 44 4
0 11 1
57 19 3
29 39 5
53 37 2
31 38 7
4 51 6
27 21 12
20 7 4
20 53 6
48 2 5
21 4 3
48 26 5
44 23 5
28 15 1
8 6 12
49 10 0
56 31 2
5 45 9
26 44 15
44 8 6
17 33 14
11 39 1
45 31 2
40 52 9
22 26 0
35 15 6
7 33 3
39 23 7
40 42 6
17 3 6
7 50 4
10 42 1
23 18 6
27 16 10
39 51 14
2 6 1
59 34 5
10 50 0
7 4 7
46 28 10
26 12 10
14 49 3
20 14 3
15 47 13
55 12 12
57 14 2
30 37 15
3 56 13
9 13 14
11 24 11
8 29 6
40 22 8
8 2 1
17 8 3
54 29 14
26 10 10
14 56 9
38 10 5
36 35 7
5 26 15
55 13 15
53 29 8
0 46 13
47 55 7
15 20 13
37 14 4
58 36 0
2 30 1
27 33 12
30 51 3
28 31 7
5 35 0
44 46 13
13 8 11
18 15 2
1 30 9
10 45 14
54 36 0
49 8 12
11 50 11
45 40 0
55 40 2
24 57 10
18 27 8
44 39 6
50 43 2
39 56 10
3 32 11
56 3 3
24 23 14
39 2 11
23 11 2
35 45 6
15 34 3
41 30 6
48 47 7
20 22 8
32 43 13
4 23 11
53 7 15
45 34 9
28 39 11
51 43 2
12 57 14
25 57 5
18 4 3
10 17 3
44 9 15
40 1 9
26 43 4
30 22 13
28 47 0
4 1 7
41 21 13
37 21 10
31 37 14
29 19 4
57 50 9
16 14 15
49 54 1
9 22 9
39 59 5
18 11 5
53 45 4
10 15 3
2 20 4
28 16 11
11 13 1
42 20 11
9 23 14
34 10 9
7 58 0
25 59 15
49 9 14
59 20 4
34 32 10
41 45 9
30 57 9
48 36 4
51 36 14
21 44 3
46 30 1
8 43 3
19 1 12
39 53 7
28 22 2
20 3 6
37 33 7
50 59 8
12 1 2
34 54 14
43 42 2
32 25 6
31 20 1
58 42 11
25 9 13
23 0 9
55 35 2
56 28 13
51 28 9
10 51 13
46 57 13
8 53 2
19 30 10
4 59 12
5 0 13
40 58 8
26 11 14
48 58 4
12 11 12
18 35 15
2 52 9
19 31 14
14 1 0
9 16 9
40 53 15
7 41 9
31 58 7
1 7 8
31 4 11
37 30 13
55 16 15
44 52 3
23 32 0
54 16 5
37 3 4
20 29 4
22 10 1
17 23 13
22 3 9
18 33 2
32 12 5
48 6 5
34 20 10
52 54 9
17 43 11
6 34 11
52 9 0
8 33 9
23 49 15
26 21 5
6 13 4
32 14 6
50 57 3
26 29 2
7 52 4
59 1 15
22 19 11
8 52 14
56 38 10
47 52 3
14 8 4
44 14 9
8 13 4
44 48 3
49 30 13
50 42 1
30 7 8
2 4 9
42 0 3
50 7 6
42 22 0
5 9 8
37 22 11
10 54 7
32 36 2
37 48 0
45 12 9
10 57 0
46 6 6
58 32 15
23 44 5
28 43 3
11 53 11
24 27 6
26 7 10
7 29 3
31 48 11
35 46 1
5 20 15
7 24 9
29 38 9
43 53 14
14 35 13
18 54 13
12 54 2
57 53 15
