80 2000
0 1 2
1 2 2
2 3 5
3 4 6
4 5 8
5 6 8
6 7 6
7 8 9
8 9 5
9 10 8
10 11 5
11 12 6
12 13 8
13 14 1
14 15 6
15 16 5
16 17 6
17 18 9
18 19 8
19 20 2
20 21 5
21 22 9
22 23 1
23 24 3
24 25 7
25 26 4
26 27 3
27 28 6
28 29 8
29 30 1
30 31 4
31 32 7
32 33 6
33 34 4
34 35 2
35 36 4
36 37 7
37 38 2
38 39 5
39 40 9
40 41 8
41 42 9
42 43 3
43 44 5
44 45 6
45 46 6
46 47 7
47 48 7
48 49 5
49 50 5
50 51 4
51 52 1
52 53 9
53 54 6
54 55 2
55 56 7
56 57 8
57 58 6
58 59 5
59 60 2
60 61 1
61 62 8
62 63 3
63 64 8
64 65 3
65 66 9
66 67 5
67 68 9
68 69 3
69 70 5
70 71 8
71 72 5
72 73 2
73 74 5
74 75 1
75 76 8
76 77 1
77 78 4
78 79 5
79 0 2
6 62 9
0 55 11
0 6 8
17 44 9
64 71 4
11 34 4
25 55 2
37 28 1
60 45 7
49 54 12
12 33 9
76 39 5
72 55 10
74 17 6
32 17 13
70 25 9
39 10 9
72 59 5
48 55 3
17 67 14
40 64 11
59 45 13
59 53 13
59 3 0
53 11 4
78 38 7
74 65 11
16 79 9
6 50 4
51 0 14
66 58 1
10 7 8
13 42 3
37 72 15
42 7 3
6 26 4
71 63 4
28 19 9
39 0 15
79 25 3
8 0 4
77 15 3
31 26 3
60 3 14
50 7 3
38 51 15
23 30 8
78 56 3
55 18 0
23 18 7
21 65 6
12 75 15
47 35 12
49 13 14
18 3 9
58 15 12
1 74 9
4 79 14
5 45 4
59 58 8
1 20 11
26 44 12
65 8 5
19 45 10
58 17 8
38 50 2
61 48 15
77 23 8
16 41 11
74 79 12
8 5 0
20 29 3
13 63 15
41 29 7
13 22 12
53 8 1
78 32 3
4 9 14
47 77 0
22 41 3
57 48 4
73 71 6
25 32 15
56 36 7
25 20 13
67 24 2
74 3 3
26 4 4
0 46 13
72 69 2
43 23 15
24 26 15
64 45 11
79 71 4
8 56 13
