30 250
0 1 2
1 2 5
2 3 8
3 4 9
4 5 5
5 6 1
6 7 4
7 8 7
8 9 1
9 10 1
10 11 4
11 12 5
12 13 4
13 14 3
14 15 5
15 16 5
16 17 6
17 18 2
18 19 1
19 20 8
20 21 7
21 22 3
22 23 3
23 24 7
24 25 9
25 26 4
26 27 9
27 28 9
28 29 6
29 0 2
12 27 -4
13 0 9
29 2 5
18 13 13
12 22 15
13 9 -2
12 0 5
5 25 14
14 26 6
2 13 -2
7 13 13
12 16 -3
9 23 5
7 10 0
2 16 15
3 16 11
6 28 6
11 23 15
26 4 2
8 6 0
19 4 15
2 5 15
15 14 13
24 18 9
21 29 13
19 10 15
10 4 9
2 15 9
20 9 3
18 1 6
16 2 4
11 26 4
2 20 -3
16 12 9
18 17 -4
14 29 13
20 6 5
19 15 11
4 1 9
3 25 5
22 2 11
20 5 -4
7 22 9
14 16 11
19 5 6
11 29 4
24 10 14
1 25 15
20 10 -3
10 3 12
21 12 4
8 23 14
27 4 5
2 18 -1
29 11 4
20 22 7
4 19 -3
9 17 7
20 25 5
26 23 11
21 13 11
11 0 6
9 5 1
10 24 10
2 9 -2
16 24 12
28 16 -4
21 10 14
12 4 0
5 26 14
25 28 0
23 14 -4
13 11 2
14 19 4
24 23 9
7 17 2
9 25 10
28 26 1
11 21 13
24 9 7
13 5 1
25 19 -1
27 8 -4
20 15 6
17 29 -2
22 27 11
27 3 4
2 24 0
8 14 11
4 26 8
2 29 2
26 14 6
13 1 7
16 11 2
12 2 6
7 0 5
29 3 15
10 25 -1
9 29 10
22 26 -1
24 22 10
0 28 -3
0 8 1
17 23 14
16 13 -2
7 9 -2
1 7 8
19 14 -3
3 26 10
19 17 -5
20 16 13
4 9 8
0 19 6
7 18 8
5 21 -3
17 16 11
17 0 7
27 15 -4
20 12 6
0 11 -3
11 7 15
3 24 13
1 11 12
10 26 15
24 21 9
22 15 15
4 2 9
1 9 1
1 10 4
26 17 10
8 1 15
6 9 6
27 24 -4
27 20 5
8 3 6
13 28 7
28 12 5
5 15 10
25 16 3
25 2 8
19 26 0
17 9 5
3 2 5
21 9 4
22 13 0
22 14 6
14 1 6
19 13 3
21 20 7
11 16 0
0 4 14
21 25 9
1 4 -3
7 24 15
12 18 -4
21 14 6
11 14 -3
18 4 11
10 20 3
7 3 -5
23 5 10
29 17 -2
8 24 3
6 19 4
22 29 10
6 3 -1
27 2 9
5 28 9
2 25 5
21 11 -3
9 28 4
27 5 15
6 25 -1
7 25 10
25 17 -1
19 28 -3
23 15 11
13 24 8
26 18 -3
4 10 15
2 14 9
21 16 6
4 28 12
20 18 0
24 4 8
16 29 -4
26 3 11
10 29 2
28 9 -3
20 17 3
4 20 4
21 19 14
29 18 -4
0 2 -4
20 24 13
8 20 1
13 19 15
0 15 15
15 7 7
9 14 -3
22 1 0
14 13 10
14 6 5
10 27 5
23 27 6
24 11 11
17 3 5
7 14 -2
7 4 -2
7 27 0
26 10 13
23 10 1
24 5 10
16 14 10
15 0 -3
14 7 1
18 11 -4
15 19 15
21 15 4
13 4 3
