20 120
0 1 9
1 2 7
2 3 3
3 4 4
4 5 3
5 6 3
6 7 7
7 8 1
8 9 3
9 10 6
10 11 7
11 12 4
12 13 5
13 14 3
14 15 2
15 16 7
16 17 1
17 18 8
18 19 4
19 0 4
14 11 4
0 6 7
10 8 -3
8 11 15
16 12 12
10 0 -2
8 5 13
8 1 -2
19 13 6
10 13 14
16 3 7
18 6 3
1 13 -5
6 11 8
2 10 14
10 3 4
16 9 8
10 12 4
17 4 1
13 12 0
19 18 4
12 17 -5
6 13 13
19 10 9
6 16 10
5 2 4
16 19 5
2 7 4
7 6 -1
7 15 14
2 14 8
12 15 7
7 4 15
0 3 8
7 5 11
14 1 12
7 3 9
4 14 11
17 19 5
14 19 11
13 17 9
5 15 9
8 7 15
8 16 10
14 2 4
17 2 -1
4 7 7
4 6 -3
10 17 9
13 1 1
18 0 13
0 11 4
19 7 10
13 15 -5
12 10 7
5 14 -1
19 17 -5
12 18 13
0 2 15
13 4 9
5 1 3
6 14 5
8 13 3
2 15 -5
17 1 6
7 2 15
1 0 2
6 0 14
4 15 -2
14 8 6
5 19 14
3 5 4
3 18 -5
9 18 7
12 6 -3
18 7 -2
9 19 -2
18 1 6
17 13 6
2 16 15
3 13 6
14 4 8
5 16 15
8 19 12
15 14 8
18 8 5
8 14 2
14 18 14
0 15 5
8 10 3
19 8 12
0 16 1
17 7 10
9 7 7
7 9 13
11 15 12
16 11 8
17 10 6
9 8 2
3 6 5
