40 500
0 1 6
1 2 7
2 3 6
3 4 1
4 5 7
5 6 1
6 7 9
7 8 4
8 9 6
9 10 9
10 11 5
11 12 2
12 13 7
13 14 9
14 15 8
15 16 9
16 17 5
17 18 2
18 19 3
19 20 2
20 21 7
21 22 6
22 23 6
23 24 9
24 25 6
25 26 3
26 27 4
27 28 9
28 29 7
29 30 9
30 31 1
31 32 1
32 33 1
33 34 3
34 35 6
35 36 8
36 37 9
37 38 8
38 39 3
39 0 9
8 20 10
10 25 9
37 21 15
36 19 15
1 23 10
7 26 9
1 38 15
16 37 7
3 37 15
10 33 12
9 15 1
36 7 6
1 28 10
26 9 13
13 26 15
3 8 6
35 20 15
33 24 10
11 29 10
34 22 8
39 30 6
15 17 9
14 19 9
13 31 10
30 22 8
18 7 12
25 22 4
18 2 9
5 22 14
16 30 6
12 34 8
35 17 4
6 39 7
15 3 7
14 3 3
26 21 15
6 8 0
35 10 13
12 18 10
18 3 2
36 14 1
11 26 5
2 25 15
11 18 1
0 19 3
21 18 14
34 33 15
8 32 14
17 12 3
21 10 14
16 11 0
36 12 5
39 25 13
32 20 2
25 6 5
8 30 10
15 0 8
24 15 14
17 21 9
37 36 0
16 23 7
3 7 14
19 10 12
32 19 3
18 23 7
14 8 15
9 29 11
26 35 15
34 13 7
38 5 14
33 23 2
3 35 6
36 34 4
10 20 14
7 13 15
5 32 14
3 29 4
32 26 14
36 3 14
19 1 12
16 0 6
37 4 1
27 22 2
34 3 2
30 2 9
26 11 4
26 23 12
28 24 12
5 34 4
22 7 5
34 25 4
14 0 0
19 29 13
34 24 7
15 29 11
9 17 6
7 2 13
39 1 7
13 4 3
38 2 14
38 3 7
28 14 6
32 18 7
36 20 10
15 19 4
33 14 13
19 17 1
35 37 5
27 35 15
3 22 12
33 20 13
19 24 5
34 30 7
35 33 4
16 13 10
5 28 11
12 3 8
24 38 1
4 12 6
30 13 10
19 0 6
12 7 15
15 38 6
25 15 10
18 24 14
19 16 11
32 31 14
6 30 10
13 23 10
26 2 7
9 1 8
37 26 9
9 12 10
14 24 7
31 35 10
16 31 15
29 10 11
10 8 15
11 34 1
33 2 2
3 0 13
8 14 2
9 0 6
32 29 11
3 39 15
31 1 0
26 0 0
33 17 9
1 32 13
11 6 3
33 9 7
12 39 8
22 17 12
5 23 12
29 36 7
5 2 2
25 24 12
35 30 1
0 10 2
31 27 10
36 6 1
14 13 15
17 2 2
17 34 1
11 20 0
13 37 4
25 4 9
10 36 7
36 24 10
24 8 2
32 22 1
6 27 7
4 21 12
20 1 8
28 31 7
22 35 12
27 11 12
5 39 9
15 4 2
17 9 12
9 24 10
23 6 2
28 23 8
5 11 13
28 35 13
6 1 2
5 38 10
24 0 9
26 24 2
35 15 5
24 10 4
17 19 8
31 9 2
10 27 8
26 19 15
4 23 8
15 31 6
29 6 4
25 21 12
21 28 10
27 38 4
38 12 15
20 11 12
20 18 15
36 15 10
24 17 12
23 7 6
37 34 5
35 1 14
13 28 9
4 26 15
8 19 7
16 9 13
24 4 14
38 30 12
34 32 13
34 2 11
34 38 2
6 15 11
10 39 1
36 25 10
27 6 0
6 16 7
25 29 4
22 1 15
6 18 13
5 7 4
22 19 10
29 13 15
22 30 3
20 4 9
2 7 0
21 6 5
15 33 5
21 35 13
29 14 12
27 25 0
39 12 14
37 27 12
0 13 6
17 4 3
34 11 11
20 12 14
7 16 15
38 24 12
37 7 11
22 29 5
19 39 2
7 15 9
7 11 11
9 32 12
26 38 4
31 34 5
31 18 4
28 39 1
22 0 15
8 12 12
35 32 15
26 31 13
10 5 0
14 18 1
17 14 9
10 29 15
7 36 3
23 34 1
28 34 6
2 28 8
22 5 14
22 39 13
8 13 6
3 36 11
34 17 5
18 36 8
32 6 4
26 3 8
15 9 10
15 25 15
9 36 8
28 4 2
25 32 8
23 29 15
20 37 0
5 29 11
4 34 12
13 27 6
31 17 10
18 21 4
36 31 10
3 2 3
29 1 3
10 28 14
0 27 6
10 17 2
23 16 2
23 10 1
25 19 7
27 5 3
30 4 4
37 14 14
21 7 13
4 14 12
6 20 11
19 8 12
4 33 0
39 10 14
22 13 4
26 39 14
13 5 3
8 7 12
22 27 10
8 15 8
5 15 9
1 19 6
33 38 6
25 18 1
24 7 7
31 38 2
33 0 11
20 8 12
36 26 11
1 37 2
0 16 6
18 32 13
34 39 4
17 5 9
13 9 10
25 37 2
19 27 7
3 15 2
27 7 14
39 38 1
19 11 3
0 8 0
10 31 11
16 10 11
8 17 3
1 21 13
17 33 2
16 36 2
31 29 11
3 31 5
16 6 3
14 32 0
2 0 7
2 30 11
24 9 5
2 35 13
14 20 7
26 20 8
4 36 11
7 32 1
11 14 1
29 18 9
20 5 14
0 23 6
23 37 15
0 26 0
14 34 11
0 21 0
24 19 3
13 33 7
3 9 8
14 33 13
5 37 3
32 8 12
4 37 1
27 8 7
18 16 10
25 20 10
28 17 7
8 37 3
9 6 5
20 26 3
16 7 2
10 19 1
13 20 4
22 25 1
11 1 12
6 29 3
0 3 7
25 23 2
16 4 0
28 8 2
2 29 1
24 27 5
11 17 8
28 9 1
39 15 9
31 26 15
3 5 8
26 12 7
34 1 12
34 31 11
36 32 10
20 38 7
1 17 1
30 33 11
10 6 7
14 36 12
22 11 5
15 37 10
22 37 0
22 36 4
31 2 2
3 14 7
1 33 15
8 21 5
20 3 0
9 37 4
7 33 11
6 21 9
31 20 5
35 39 11
14 37 5
18 8 5
0 36 12
36 2 5
38 20 7
21 4 7
22 20 5
5 21 14
13 15 2
22 16 3
24 28 13
10 26 15
24 22 12
4 2 9
1 20 8
6 4 10
10 24 5
4 35 2
21 38 15
1 27 5
38 27 5
3 6 10
13 12 13
35 34 8
15 6 1
25 36 15
9 3 11
5 18 15
12 6 0
13 10 9
5 30 3
19 25 15
31 16 2
11 23 12
23 11 14
2 16 14
29 16 7
17 36 1
34 26 7
35 3 12
33 26 15
30 19 2
25 2 4
7 28 5
10 13 6
8 2 13
5 27 6
