40 500
0 1 3
1 2 5
2 3 6
3 4 2
4 5 2
5 6 7
6 7 9
7 8 7
8 9 9
9 10 6
10 11 5
11 12 9
12 13 8
13 14 1
14 15 9
15 16 7
16 17 2
17 18 7
18 19 3
19 20 3
20 21 2
21 22 2
22 23 2
23 24 5
24 25 9
25 26 6
26 27 7
27 28 5
28 29 7
29 30 8
30 31 8
31 32 1
32 33 3
33 34 5
34 35 7
35 36 3
36 37 7
37 38 1
38 39 7
39 0 6
15 3 10
17 23 -5
21 19 4
17 31 -2
14 8 4
28 20 3
26 38 15
5 12 9
13 26 10
33 23 -4
32 10 -3
19 32 7
8 33 13
1 11 1
12 3 2
2 29 -4
23 12 3
23 29 11
25 7 -5
15 23 10
38 28 0
30 37 12
10 16 -3
18 1 7
3 10 13
14 13 3
26 32 -5
0 30 -1
11 38 -5
14 16 14
19 17 8
24 22 9
16 13 9
19 33 14
25 37 -2
0 32 6
35 38 14
6 30 -3
21 17 15
20 17 3
19 12 -1
33 15 -4
38 25 5
8 1 15
31 18 3
26 25 7
2 37 13
12 21 2
34 30 6
32 19 0
35 11 4
8 16 12
11 21 15
5 14 6
14 19 8
21 23 3
37 18 9
7 30 -4
39 4 10
12 32 -2
24 33 4
26 3 -1
8 12 5
26 36 9
9 20 0
5 31 5
11 20 15
3 0 9
17 13 0
36 10 10
5 8 14
25 27 10
24 0 -4
34 12 6
0 20 11
12 1 -5
15 14 6
19 8 -2
24 32 13
19 10 -3
2 19 4
29 33 14
33 21 8
8 21 10
22 12 0
25 1 2
13 1 13
7 23 15
2 24 15
16 34 14
3 38 -4
6 1 -4
7 26 9
24 7 12
16 30 -1
13 0 4
26 6 11
17 39 14
8 26 -2
32 39 -2
18 7 -2
31 12 14
12 16 11
12 22 8
18 10 -4
35 31 1
30 21 2
5 7 13
31 9 -3
32 4 -2
16 14 9
18 16 9
3 6 0
2 18 6
20 27 -2
6 2 -5
8 10 5
22 28 14
17 5 6
21 11 -2
29 17 7
30 26 15
10 7 -1
6 26 13
30 36 9
11 39 7
22 39 -5
8 30 10
28 2 -3
16 20 -5
33 36 13
14 21 11
33 39 -2
27 15 10
22 24 -1
35 39 -4
0 10 11
10 4 10
20 15 5
17 3 11
14 35 15
15 5 9
28 36 9
7 31 15
1 6 7
26 2 12
35 0 -3
35 13 15
29 21 6
3 14 9
21 35 14
38 30 6
28 7 -2
14 0 5
22 18 12
10 31 -1
16 39 1
12 7 7
13 29 1
21 6 8
7 28 9
37 32 -1
31 0 11
3 35 8
37 30 11
11 37 0
8 6 7
20 32 7
15 17 7
21 18 9
35 20 12
13 12 1
39 18 6
8 11 11
34 20 -2
22 35 10
37 36 8
34 18 8
0 33 -2
1 24 -1
12 17 0
9 3 4
13 34 -4
6 39 12
24 15 11
18 3 7
24 26 5
35 3 -5
16 12 14
28 14 15
23 37 12
38 12 1
18 28 0
4 11 0
32 7 7
2 27 3
35 16 -1
10 37 3
0 21 9
9 2 -1
20 38 -4
39 19 10
36 35 6
4 20 11
14 11 11
4 32 0
26 34 12
25 5 6
23 18 1
39 33 10
7 22 9
15 39 14
15 2 5
24 16 12
28 31 -4
18 12 5
32 5 -2
10 34 12
0 4 1
13 27 -2
27 4 -1
1 29 5
2 5 -3
3 11 3
35 4 13
26 24 9
20 1 7
7 34 -5
37 2 -3
22 32 -2
38 5 4
28 24 7
1 30 0
34 14 -1
25 34 4
9 19 15
23 0 12
35 9 -2
2 0 13
5 19 1
22 13 8
32 9 0
11 14 14
7 11 13
29 35 -3
18 4 3
6 12 13
31 21 6
8 15 -2
18 39 -3
12 20 10
28 21 14
19 37 -1
23 20 8
10 0 5
27 17 6
30 29 9
22 19 10
35 6 0
17 8 12
1 32 15
1 37 13
13 2 12
9 23 7
14 37 4
8 29 11
25 23 11
0 15 14
10 32 -1
28 10 0
9 30 6
2 14 10
14 4 3
23 14 -4
13 33 6
24 30 9
20 6 11
17 16 13
34 36 0
4 33 3
24 14 11
25 22 6
31 30 14
8 28 0
32 17 1
9 11 0
23 38 -2
14 26 5
13 37 0
26 1 2
2 8 13
37 10 -1
32 2 13
11 33 7
38 36 15
1 18 -3
13 28 14
10 14 8
38 9 13
32 16 0
21 29 14
37 4 2
1 12 11
32 26 -1
38 6 0
30 39 14
2 34 11
7 5 10
8 38 12
0 27 11
26 23 -4
33 27 2
30 24 6
6 27 -1
14 5 4
38 34 8
36 33 -2
33 0 7
13 20 8
23 6 -1
27 37 3
27 36 6
39 17 7
30 11 6
30 16 4
36 22 7
8 7 2
6 13 11
25 21 12
39 3 0
5 9 10
38 27 -3
4 16 2
23 5 14
25 39 15
33 18 14
31 28 -5
12 33 4
12 2 14
14 39 0
2 23 2
5 17 7
22 25 7
37 12 11
5 35 4
35 37 6
22 17 2
29 25 13
0 16 0
6 35 -3
32 18 5
7 32 3
16 28 7
36 30 2
29 37 -5
30 7 3
4 24 15
20 26 6
15 18 -3
4 35 0
30 20 6
13 36 3
14 12 2
39 22 -1
34 2 10
23 39 5
31 36 3
31 11 11
17 25 2
36 8 -4
30 34 -4
32 22 7
11 29 -2
33 29 5
13 24 13
6 20 6
39 16 0
11 31 8
25 17 9
11 36 -1
36 14 -2
17 15 12
27 24 1
30 0 0
26 31 -1
20 31 4
16 35 13
3 25 -2
10 3 1
6 28 5
16 23 6
16 22 -5
26 7 6
34 11 4
22 20 11
5 24 14
18 29 15
21 26 15
