80 2000
0 1 2
1 2 4
2 3 9
3 4 2
4 5 9
5 6 7
6 7 6
7 8 6
8 9 1
9 10 8
10 11 9
11 12 5
12 13 7
13 14 9
14 15 6
15 16 1
16 17 6
17 18 8
18 19 5
19 20 5
20 21 4
21 22 1
22 23 4
23 24 5
24 25 2
25 26 9
26 27 2
27 28 2
28 29 8
29 30 8
30 31 3
31 32 1
32 33 4
33 34 9
34 35 6
35 36 4
36 37 5
37 38 1
38 39 2
39 40 6
40 41 4
41 42 7
42 43 5
43 44 2
44 45 6
45 46 5
46 47 8
47 48 2
48 49 6
49 50 6
50 51 4
51 52 2
52 53 4
53 54 3
54 55 6
55 56 4
56 57 7
57 58 8
58 59 9
59 60 2
60 61 4
61 62 7
62 63 8
63 64 6
64 65 1
65 66 1
66 67 5
67 68 3
68 69 2
69 70 5
70 71 2
71 72 1
72 73 6
73 74 3
74 75 8
75 76 7
76 77 9
77 78 2
78 79 9
79 0 8
71 7 14
16 61 -5
34 46 -1
30 65 11
71 44 7
20 17 5
71 54 8
7 41 13
64 53 9
68 56 3
38 21 -1
63 43 11
43 35 12
43 75 8
46 40 14
36 22 11
16 38 14
15 10 8
42 3 -1
0 5 -4
19 39 6
29 75 15
29 9 2
16 14 5
40 8 1
0 41 5
61 4 11
26 54 12
23 12 4
38 36 11
67 78 7
49 75 14
62 18 10
28 54 9
56 37 15
52 19 -5
16 46 11
21 47 4
26 8 11
27 22 12
13 17 1
8 16 1
77 18 15
0 39 14
11 7 7
1 11 11
31 53 3
62 20 1
70 59 6
3 68 0
60 51 11
11 58 0
23 44 10
59 41 3
46 71 15
34 61 -1
48 19 13
4 41 -1
79 11 11
58 48 12
30 13 7
6 70 0
56 15 15
60 22 -3
58 27 1
56 27 13
74 23 -5
41 23 0
19 73 13
78 27 8
21 12 8
41 74 -3
38 30 12
70 18 2
21 41 15
46 31 13
69 26 5
71 39 3
53 15 10
59 63 2
20 50 4
31 2 13
42 33 3
73 63 14
14 23 9
77 74 9
0 23 13
22 56 -3
20 7 5
31 76 9
67 63 -2
27 62 5
17 74 12
66 31 -1
19 3 -2
17 46 7
24 22 -4
5 33 12
62 77 9
66 64 11
72 56 6
26 47 11
45 23 2
68 50 -4
5 25 -5
35 38 2
49 10 13
73 41 -2
58 8 6
20 26 13
11 2 -1
73 21 13
44 3 -3
38 25 10
35 65 1
7 78 1
0 73 8
60 10 1
75 63 -3
77 14 -1
50 6 15
